committee_type,sub_committe,name,role,organization,country
Steering Committee,,KC Santhosh,Professor and Chair of Computer Science Department,University of South Dakota,USA
Steering Committee,,Ravindra Hegadi,"Professor and Dean, Academics",Central University of Karnataka,India
Organizing Committee,CHIEF PATRON,Prof. A. Ravinder Nath,Vice Chancellor,"Central University of Kashmir, India",India
Organizing Committee,PATRON(S),,,"Central University of Kashmir, India",India
Organizing Committee,PATRON(S),,,"Central University of Kashmir, India",India
Organizing Committee,HONOARY CHAIRS,KC Santhosh,Professor and Chair of Computer Science Department,University of South Dakota,USA
Organizing Committee,GENERAL CHAIRS,Ravindra Hegadi,"Professor and Dean, Academics",Central University of Karnataka,India
Organizing Committee,PROGRAM CHAIRS,Yash Paul,Assistant Professor,Central University of Kashmir,India
Organizing Committee,THEME CHAIRS,,,,
Organizing Committee,WORKSHOP CHAIRS,,,,
Organizing Committee,SPECIAL SESSION CHAIRS,,,,
Organizing Committee,PUBLICITY CHAIRS,,,,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Abdullah Bin Queyam,,Banasthali Vidyapith,India
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Abhinav Muley,,St. Vincent Pallotti College of Engineering and Technology,Nagpur
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Abhishek Shivanna,,Oak Ridge National Laboratory (ORNL),USA
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Ali Nazarizadeh,, Islamic Azad University Central Tehran Branch,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Amit Shivpuja,, Walmart,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,"Amlan Ghosh,",,LTIMindtree,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,ANIKET AVINASH MULEY,,Swami Ramanad Teerth Marathwada University,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Anish Alex,,Microsoft Corporation,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Anita Dixit,,SDM College of Engineering and Technology,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Ankit Khandelwal,,Adobe Inc,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Anupriya Kamble,, Vishwakarma University,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Archana S Nandibewoor,,Dayanada Sagar College of Engineering,Bangalore
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Arjun Malhotra,,Openly Inc,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Arkajyoti Mitra ,,University of Texas at Arlington,USA
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Arun Thomas,, Apple Inc,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Arun Kumar Palathumpattu Thankappan ,,Cloudwick Technologies Inc,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Arun Raj Kaprakattu,, Nokia of America Corporation,USA
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Aryan Patodiya,,California State University,USA
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Ashish Mohan,, IPSOS MMA NA,Cherryroad
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Ashutosh Rana,,,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Asifuzzaman Lasker,,Aliah University,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Baba Prasad Pendyala,,Walmart,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Balaji Bodicherla,,Tek Ninjas,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,Balamurugan Karnan,, SRM Madurai College for Engineering and Technology,
Organizing Committee,TECHNICAL PROGRAM CHAIRS,CHANDRA SEKHARA REDDY ADAPA,, LabCorp,
